StockSymbol,Top Institutional Holders
aapl,Vanguard Total Stock Market Index Fund
aapl,Vanguard 500 Index Fund
aapl,Fidelity 500 Index Fund
aapl,SPDR S&P 500 ETF Trust
aapl,iShares Core S&P 500 ETF
aapl,Vanguard Growth Index Fund
aapl,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF"
aapl,Vanguard Institutional Index Fund-Institutional Index Fund
aapl,Vanguard Information Technology Index Fund
aapl,Select Sector SPDR Fund-Technology
meta,Vanguard Total Stock Market Index Fund
meta,Vanguard 500 Index Fund
meta,Fidelity Contrafund Inc
meta,Growth Fund Of America Inc
meta,Fidelity 500 Index Fund
meta,SPDR S&P 500 ETF Trust
meta,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF"
meta,iShares Core S&P 500 ETF
meta,Vanguard Growth Index Fund
meta,Vanguard Institutional Index Fund-Institutional Index Fund
amzn,Vanguard Total Stock Market Index Fund
amzn,Vanguard 500 Index Fund
amzn,SPDR S&P 500 ETF Trust
amzn,Fidelity 500 Index Fund
amzn,iShares Core S&P 500 ETF
amzn,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF"
amzn,Vanguard Growth Index Fund
amzn,Vanguard Institutional Index Fund-Institutional Index Fund
amzn,Growth Fund Of America Inc
amzn,Fidelity Contrafund Inc
googl,Vanguard Total Stock Market Index Fund
googl,Vanguard 500 Index Fund
googl,Fidelity 500 Index Fund
googl,SPDR S&P 500 ETF Trust
googl,iShares Core S&P 500 ETF
googl,Vanguard Growth Index Fund
googl,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF"
googl,Vanguard Institutional Index Fund-Institutional Index Fund
googl,Growth Fund Of America Inc
googl,Vanguard/Wellington Fund Inc.
nvda,Vanguard Total Stock Market Index Fund
nvda,Vanguard 500 Index Fund
nvda,Fidelity 500 Index Fund
nvda,SPDR S&P 500 ETF Trust
nvda,iShares Core S&P 500 ETF
nvda,Vanguard Growth Index Fund
nvda,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF"
nvda,Vanguard Institutional Index Fund-Institutional Index Fund
nvda,Fidelity Growth Company Fund
nvda,Fidelity Blue Chip Growth Fund
msft,Vanguard Total Stock Market Index Fund
msft,Vanguard 500 Index Fund
msft,Fidelity 500 Index Fund
msft,SPDR S&P 500 ETF Trust
msft,iShares Core S&P 500 ETF
msft,Vanguard Growth Index Fund
msft,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF"
msft,Vanguard Institutional Index Fund-Institutional Index Fund
msft,Growth Fund Of America Inc
msft,Vanguard Information Technology Index Fund
amd,Vanguard Total Stock Market Index Fund
amd,Vanguard 500 Index Fund
amd,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF"
amd,Fidelity 500 Index Fund
amd,SPDR S&P 500 ETF Trust
amd,iShares Core S&P 500 ETF
amd,Vanguard Growth Index Fund
amd,Vanguard Institutional Index Fund-Institutional Index Fund
amd,Select Sector SPDR Fund-Technology
amd,Vanguard Information Technology Index Fund
